Descriptive Statistics Manual Mode,,,,,,Descriptive Statistics Data Analysis Tool Pack,,,
,,,,,,,,,
Sales ,Statistics,Formula,Value,,,,,,
4657.65,Mean,AVERAGE(A4:A33),1615.3,,,Sales ,,,
2700.78,Min,MIN(A4:A33),22.9,,,,,,
168.99,Maximum,MAX(A4:A33),12719.7,,,Mean,1615.329667,,
2045.07,Count,COUNT(A4:A33),30.0,,,Standard Error,461.4119369,,
26.41,Sum,SUM(A4:A33),48459.9,,,Median,658.29,,
322.82,Range,MAX(A4:A33)-MIN(A4:A33),12696.8,,,Mode,#N/A,,
4233.15,Median,MEDIAN(A4:A33),658.3,,,Standard Deviation,2527.257261,,
54.61,Mode,MODE(A4:A33),#N/A,,,Sample Variance,6387029.265,,
25.84,SD,STDEV.S(A4:A33),2527.3,,,Kurtosis,12.77602983,,
129.53,Sample Variance,VAR.S(A4:A33),6387029.3,,,Skewness,3.197357634,,
1767.47,Standard Error,C12/SQRT(30),461.4,,,Range,12696.81,,
2164.07,Kurtosis,KURT(A4:A33),12.8,,,Minimum,22.89,,
1276.73,Skewness,SKEW(A4:A33),3.2,,,Maximum,12719.7,,
,,,,,,Sum,48459.89,,
,,,,,,Count,30,,
,,,,,,Confidence Level(95.0%),943.6933705,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,